
                                             CodeAnalysis
    ==============================================================================================
     Mon Feb  6 04:24:23 2017
     Path: "C:\Users\Komal\Documents\GitHub\ObjectOrientedAnalysisDesign\Solution1"
     Args: *.h, *.cpp, *.cs, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
            FileSystem.cpp    function                setCurrentDirectory     587       3       1
            FileSystem.cpp    function                           getFiles     593      16       2
            FileSystem.cpp    function                     getDirectories     612      16       2
            FileSystem.cpp    function                             create     631       3       1
            FileSystem.cpp    function                             exists     637       6       1
            FileSystem.cpp    function                             remove     646       3       1
            FileSystem.cpp       class                   FileSystemSearch      27      14      10
            FileSystem.cpp    function                   FileSystemSearch      41       2       1
            FileSystem.cpp    function                  ~FileSystemSearch      42       2       1
            FileSystem.cpp    function                              close      43       2       1
            FileSystem.cpp    function                          firstFile     652      13       2
            FileSystem.cpp    function                           nextFile     668       6       1
            FileSystem.cpp    function                     firstDirectory     677      13       2
            FileSystem.cpp    function                      nextDirectory     693       6       1
            FileSystem.cpp    function                              title     704       4       1
            FileSystem.cpp      lambda                                [])     709     311      16

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
        FileSystemTest.cpp       class                           TestFile      39     107      15
        FileSystemTest.cpp    function                           TestFile      42       3       1
        FileSystemTest.cpp    function                           testName      46       6       1
        FileSystemTest.cpp    function                  testGetAndPutLine      54      22       3
        FileSystemTest.cpp    function                 testGetAndPutBlock      78      24       4
        FileSystemTest.cpp    function                         testExists     104       8       1
        FileSystemTest.cpp    function                  testCopyAndRemove     114      18       3
        FileSystemTest.cpp    function                               test     134       9       1
        FileSystemTest.cpp       class                       TestFileInfo     148     104       9
        FileSystemTest.cpp    function                       TestFileInfo     151       3       1
        FileSystemTest.cpp    function                   testConstruction     155       4       1
        FileSystemTest.cpp    function                           testName     160       9       1
        FileSystemTest.cpp    function                           testDate     170      11       1
        FileSystemTest.cpp    function                           testSize     182      16       2
        FileSystemTest.cpp    function                    testNameCompare     200      39       1
        FileSystemTest.cpp    function                               test     240       9       1
        FileSystemTest.cpp       class                           TestPath     254      90       8
        FileSystemTest.cpp    function                           TestPath     257       3       1
        FileSystemTest.cpp    function                TestGetFullFileSpec     261       5       1
        FileSystemTest.cpp    function                        TestGetPath     267      10       1
        FileSystemTest.cpp    function                        TestGetName     278      13       1
        FileSystemTest.cpp    function                         TestGetExt     292      19       1
        FileSystemTest.cpp    function                       TestFileSpec     312      19       1
        FileSystemTest.cpp    function                               test     332       9       1
        FileSystemTest.cpp       class                      TestDirectory     346      82       6
        FileSystemTest.cpp    function                      TestDirectory     349       3       1
        FileSystemTest.cpp    function             TestCreateRemoveExists     353      10       1
        FileSystemTest.cpp    function      TestGetAndSetCurrentDirectory     364      11       1
        FileSystemTest.cpp    function         TestGetFilesAndDirectories     376      41       1
        FileSystemTest.cpp    function                               test     418       7       1
        FileSystemTest.cpp    function                               test     430      12       1
        FileSystemTest.cpp      lambda                                [])     443       7       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                    Help.h       class                                  X       8       5       1
                    Help.h       class                                  X       5       6       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                  Help.cpp    function                              toXml      15      23       1
                  Help.cpp    function                            fromXml      40      28       3
                  Help.cpp    function                               main      70      15       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
              HiResTimer.h   namespace                            HRTimer      55      15       8
              HiResTimer.h       class                         HiResTimer      57      12       7

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            HiResTimer.cpp    function                         HiResTimer      20       5       1
